,question_id,model,syntax,prompt_type,correct_answer
146,0,mixtral,paper,no_prompt,False
147,2,mixtral,paper,no_prompt,True
148,4,mixtral,paper,no_prompt,True
149,5,mixtral,paper,no_prompt,False
150,6,mixtral,paper,no_prompt,True
151,8,mixtral,paper,no_prompt,True
152,9,mixtral,paper,no_prompt,True
153,11,mixtral,paper,no_prompt,False
154,12,mixtral,paper,no_prompt,True
155,13,mixtral,paper,no_prompt,False
156,14,mixtral,paper,no_prompt,False
157,15,mixtral,paper,no_prompt,False
158,16,mixtral,paper,no_prompt,True
159,17,mixtral,paper,no_prompt,False
160,18,mixtral,paper,no_prompt,False
161,19,mixtral,paper,no_prompt,False
162,20,mixtral,paper,no_prompt,True
163,21,mixtral,paper,no_prompt,True
164,22,mixtral,paper,no_prompt,True
165,23,mixtral,paper,no_prompt,True
166,24,mixtral,paper,no_prompt,True
167,25,mixtral,paper,no_prompt,True
168,26,mixtral,paper,no_prompt,False
169,27,mixtral,paper,no_prompt,False
170,28,mixtral,paper,no_prompt,False
171,30,mixtral,paper,no_prompt,True
172,31,mixtral,paper,no_prompt,True
173,32,mixtral,paper,no_prompt,True
174,33,mixtral,paper,no_prompt,False
175,34,mixtral,paper,no_prompt,False
176,35,mixtral,paper,no_prompt,True
177,36,mixtral,paper,no_prompt,True
178,37,mixtral,paper,no_prompt,True
179,39,mixtral,paper,no_prompt,False
180,40,mixtral,paper,no_prompt,True
181,41,mixtral,paper,no_prompt,False
182,43,mixtral,paper,no_prompt,False
183,44,mixtral,paper,no_prompt,True
184,45,mixtral,paper,no_prompt,True
185,46,mixtral,paper,no_prompt,True
186,47,mixtral,paper,no_prompt,True
187,48,mixtral,paper,no_prompt,True
188,49,mixtral,paper,no_prompt,True
189,50,mixtral,paper,no_prompt,False
190,51,mixtral,paper,no_prompt,True
191,52,mixtral,paper,no_prompt,True
192,55,mixtral,paper,no_prompt,True
193,56,mixtral,paper,no_prompt,False
194,57,mixtral,paper,no_prompt,False
195,60,mixtral,paper,no_prompt,True
196,61,mixtral,paper,no_prompt,False
197,62,mixtral,paper,no_prompt,True
198,63,mixtral,paper,no_prompt,True
199,64,mixtral,paper,no_prompt,False
200,65,mixtral,paper,no_prompt,True
201,66,mixtral,paper,no_prompt,True
202,67,mixtral,paper,no_prompt,True
203,68,mixtral,paper,no_prompt,True
204,69,mixtral,paper,no_prompt,True
205,70,mixtral,paper,no_prompt,True
206,71,mixtral,paper,no_prompt,False
207,72,mixtral,paper,no_prompt,True
208,73,mixtral,paper,no_prompt,True
209,74,mixtral,paper,no_prompt,True
210,75,mixtral,paper,no_prompt,False
211,76,mixtral,paper,no_prompt,True
212,77,mixtral,paper,no_prompt,False
213,81,mixtral,paper,no_prompt,True
214,82,mixtral,paper,no_prompt,False
215,83,mixtral,paper,no_prompt,True
216,84,mixtral,paper,no_prompt,True
217,85,mixtral,paper,no_prompt,True
218,86,mixtral,paper,no_prompt,False
219,0,mixtral,paper,deontology,False
220,2,mixtral,paper,deontology,True
221,4,mixtral,paper,deontology,True
222,5,mixtral,paper,deontology,False
223,6,mixtral,paper,deontology,True
224,8,mixtral,paper,deontology,True
225,9,mixtral,paper,deontology,True
226,11,mixtral,paper,deontology,False
227,12,mixtral,paper,deontology,True
228,13,mixtral,paper,deontology,False
229,14,mixtral,paper,deontology,True
230,15,mixtral,paper,deontology,False
231,16,mixtral,paper,deontology,True
232,17,mixtral,paper,deontology,False
233,18,mixtral,paper,deontology,False
234,19,mixtral,paper,deontology,False
235,20,mixtral,paper,deontology,True
236,21,mixtral,paper,deontology,True
237,22,mixtral,paper,deontology,True
238,23,mixtral,paper,deontology,True
239,24,mixtral,paper,deontology,True
240,25,mixtral,paper,deontology,True
241,26,mixtral,paper,deontology,True
242,27,mixtral,paper,deontology,False
243,28,mixtral,paper,deontology,True
244,30,mixtral,paper,deontology,True
245,31,mixtral,paper,deontology,True
246,32,mixtral,paper,deontology,True
247,33,mixtral,paper,deontology,False
248,34,mixtral,paper,deontology,True
249,35,mixtral,paper,deontology,True
250,36,mixtral,paper,deontology,True
251,37,mixtral,paper,deontology,True
252,39,mixtral,paper,deontology,True
253,40,mixtral,paper,deontology,True
254,41,mixtral,paper,deontology,False
255,43,mixtral,paper,deontology,False
256,44,mixtral,paper,deontology,True
257,45,mixtral,paper,deontology,True
258,46,mixtral,paper,deontology,True
259,47,mixtral,paper,deontology,True
260,48,mixtral,paper,deontology,True
261,49,mixtral,paper,deontology,False
262,50,mixtral,paper,deontology,False
263,51,mixtral,paper,deontology,True
264,52,mixtral,paper,deontology,True
265,55,mixtral,paper,deontology,True
266,56,mixtral,paper,deontology,False
267,57,mixtral,paper,deontology,False
268,60,mixtral,paper,deontology,False
269,61,mixtral,paper,deontology,False
270,62,mixtral,paper,deontology,True
271,63,mixtral,paper,deontology,True
272,64,mixtral,paper,deontology,False
273,65,mixtral,paper,deontology,True
274,66,mixtral,paper,deontology,True
275,67,mixtral,paper,deontology,True
276,68,mixtral,paper,deontology,True
277,69,mixtral,paper,deontology,False
278,70,mixtral,paper,deontology,True
279,71,mixtral,paper,deontology,False
280,72,mixtral,paper,deontology,False
281,73,mixtral,paper,deontology,True
282,74,mixtral,paper,deontology,True
283,75,mixtral,paper,deontology,True
284,76,mixtral,paper,deontology,True
285,77,mixtral,paper,deontology,False
286,81,mixtral,paper,deontology,True
287,82,mixtral,paper,deontology,False
288,83,mixtral,paper,deontology,True
289,84,mixtral,paper,deontology,True
290,85,mixtral,paper,deontology,True
291,86,mixtral,paper,deontology,False
292,0,mixtral,paper,utilitarianism,False
293,2,mixtral,paper,utilitarianism,True
294,4,mixtral,paper,utilitarianism,True
295,5,mixtral,paper,utilitarianism,False
296,6,mixtral,paper,utilitarianism,True
297,8,mixtral,paper,utilitarianism,True
298,9,mixtral,paper,utilitarianism,True
299,11,mixtral,paper,utilitarianism,False
300,12,mixtral,paper,utilitarianism,True
301,13,mixtral,paper,utilitarianism,False
302,14,mixtral,paper,utilitarianism,True
303,15,mixtral,paper,utilitarianism,False
304,16,mixtral,paper,utilitarianism,True
305,17,mixtral,paper,utilitarianism,False
306,18,mixtral,paper,utilitarianism,False
307,19,mixtral,paper,utilitarianism,False
308,20,mixtral,paper,utilitarianism,True
309,21,mixtral,paper,utilitarianism,True
310,22,mixtral,paper,utilitarianism,True
311,23,mixtral,paper,utilitarianism,True
312,24,mixtral,paper,utilitarianism,True
313,25,mixtral,paper,utilitarianism,True
314,26,mixtral,paper,utilitarianism,True
315,27,mixtral,paper,utilitarianism,False
316,28,mixtral,paper,utilitarianism,True
317,30,mixtral,paper,utilitarianism,True
318,31,mixtral,paper,utilitarianism,True
319,32,mixtral,paper,utilitarianism,False
320,33,mixtral,paper,utilitarianism,False
321,34,mixtral,paper,utilitarianism,False
322,35,mixtral,paper,utilitarianism,True
323,36,mixtral,paper,utilitarianism,False
324,37,mixtral,paper,utilitarianism,True
325,39,mixtral,paper,utilitarianism,True
326,40,mixtral,paper,utilitarianism,True
327,41,mixtral,paper,utilitarianism,False
328,43,mixtral,paper,utilitarianism,False
329,44,mixtral,paper,utilitarianism,True
330,45,mixtral,paper,utilitarianism,True
331,46,mixtral,paper,utilitarianism,True
332,47,mixtral,paper,utilitarianism,True
333,48,mixtral,paper,utilitarianism,True
334,49,mixtral,paper,utilitarianism,False
335,50,mixtral,paper,utilitarianism,True
336,51,mixtral,paper,utilitarianism,True
337,52,mixtral,paper,utilitarianism,True
338,55,mixtral,paper,utilitarianism,True
339,56,mixtral,paper,utilitarianism,False
340,57,mixtral,paper,utilitarianism,False
341,60,mixtral,paper,utilitarianism,True
342,61,mixtral,paper,utilitarianism,False
343,62,mixtral,paper,utilitarianism,True
344,63,mixtral,paper,utilitarianism,True
345,64,mixtral,paper,utilitarianism,True
346,65,mixtral,paper,utilitarianism,True
347,66,mixtral,paper,utilitarianism,False
348,67,mixtral,paper,utilitarianism,True
349,68,mixtral,paper,utilitarianism,True
350,69,mixtral,paper,utilitarianism,True
351,70,mixtral,paper,utilitarianism,True
352,71,mixtral,paper,utilitarianism,False
353,72,mixtral,paper,utilitarianism,True
354,73,mixtral,paper,utilitarianism,True
355,74,mixtral,paper,utilitarianism,True
356,75,mixtral,paper,utilitarianism,True
357,76,mixtral,paper,utilitarianism,True
358,77,mixtral,paper,utilitarianism,False
359,81,mixtral,paper,utilitarianism,True
360,82,mixtral,paper,utilitarianism,False
361,83,mixtral,paper,utilitarianism,True
362,84,mixtral,paper,utilitarianism,True
363,85,mixtral,paper,utilitarianism,True
364,86,mixtral,paper,utilitarianism,False
